channel,index,allowed_instance_count_field,allowed_instance_ids_length,allowed_source_count_field,allowed_source_indices_length,allowed_source_min,allowed_source_max
productivity,1144,10359,10359,4993,4993,0,7195
productivity,1148,10359,10359,4993,4993,0,7195
productivity,1151,10359,10359,4993,4993,0,7195
productivity,1160,10359,10359,4993,4993,0,7195
productivity,1161,10359,10359,4993,4993,0,7195
productivity,1170,10359,10359,4993,4993,0,7195
productivity,1175,10359,10359,4993,4993,0,7195
productivity,1179,10359,10359,4993,4993,0,7195
productivity,1182,10359,10359,4993,4993,0,7195
productivity,1184,10359,10359,4993,4993,0,7195
productivity,1185,10359,10359,4993,4993,0,7195
productivity,1186,10359,10359,4993,4993,0,7195
productivity,1190,10359,10359,4993,4993,0,7195
productivity,1194,10359,10359,4993,4993,0,7195
productivity,1199,10359,10359,4993,4993,0,7195
productivity,1203,10359,10359,4993,4993,0,7195
productivity,1210,10359,10359,4993,4993,0,7195
productivity,1212,10359,10359,4993,4993,0,7195
productivity,1214,10359,10359,4993,4993,0,7195
productivity,1217,10359,10359,4993,4993,0,7195
productivity,1227,10359,10359,4993,4993,0,7195
productivity,1228,10359,10359,4993,4993,0,7195
productivity,1240,10359,10359,4993,4993,0,7195
productivity,1249,10359,10359,4993,4993,0,7195
productivity,1256,10359,10359,4993,4993,0,7195
productivity,1259,10359,10359,4993,4993,0,7195
productivity,1265,10359,10359,4993,4993,0,7195
productivity,1266,10359,10359,4993,4993,0,7195
productivity,1271,10359,10359,4993,4993,0,7195
productivity,1273,10359,10359,4993,4993,0,7195
productivity,1288,10359,10359,4993,4993,0,7195
productivity,1292,10359,10359,4993,4993,0,7195
productivity,1299,10359,10359,4993,4993,0,7195
productivity,1301,10359,10359,4993,4993,0,7195
productivity,1310,10359,10359,4993,4993,0,7195
productivity,1312,10359,10359,4993,4993,0,7195
productivity,1316,10359,10359,4993,4993,0,7195
productivity,1318,10359,10359,4993,4993,0,7195
productivity,1322,10359,10359,4993,4993,0,7195
productivity,1329,10359,10359,4993,4993,0,7195
productivity,1331,10359,10359,4993,4993,0,7195
productivity,1343,10359,10359,4993,4993,0,7195
productivity,1346,10359,10359,4993,4993,0,7195
productivity,1348,10359,10359,4993,4993,0,7195
productivity,1354,10359,10359,4993,4993,0,7195
productivity,1358,10359,10359,4993,4993,0,7195
productivity,1360,10359,10359,4993,4993,0,7195
productivity,1362,10359,10359,4993,4993,0,7195
productivity,1364,10359,10359,4993,4993,0,7195
productivity,1365,10359,10359,4993,4993,0,7195
productivity,1366,10359,10359,4993,4993,0,7195
productivity,1370,10359,10359,4993,4993,0,7195
productivity,1372,10359,10359,4993,4993,0,7195
productivity,1377,10359,10359,4993,4993,0,7195
productivity,1382,10359,10359,4993,4993,0,7195
productivity,1383,10359,10359,4993,4993,0,7195
productivity,1387,10359,10359,4993,4993,0,7195
productivity,1390,10359,10359,4993,4993,0,7195
productivity,1391,10359,10359,4993,4993,0,7195
productivity,1392,10359,10359,4993,4993,0,7195
productivity,1396,10359,10359,4993,4993,0,7195
productivity,1404,10359,10359,4993,4993,0,7195
productivity,1408,10359,10359,4993,4993,0,7195
productivity,1412,10359,10359,4993,4993,0,7195
productivity,1418,10359,10359,4993,4993,0,7195
productivity,1423,10359,10359,4993,4993,0,7195
productivity,1424,10359,10359,4993,4993,0,7195
productivity,1425,10359,10359,4993,4993,0,7195
productivity,1426,10359,10359,4993,4993,0,7195
productivity,1427,10359,10359,4993,4993,0,7195
productivity,1433,10359,10359,4993,4993,0,7195
productivity,1437,10359,10359,4993,4993,0,7195
productivity,1438,10359,10359,4993,4993,0,7195
productivity,1445,10359,10359,4993,4993,0,7195
productivity,1446,10359,10359,4993,4993,0,7195
productivity,1454,10359,10359,4993,4993,0,7195
productivity,1455,10359,10359,4993,4993,0,7195
productivity,1458,10359,10359,4993,4993,0,7195
productivity,1462,10359,10359,4993,4993,0,7195
productivity,1464,10359,10359,4993,4993,0,7195
productivity,1465,10359,10359,4993,4993,0,7195
productivity,1471,10359,10359,4993,4993,0,7195
productivity,1476,10359,10359,4993,4993,0,7195
productivity,1477,10359,10359,4993,4993,0,7195
productivity,1479,10359,10359,4993,4993,0,7195
productivity,1480,10359,10359,4993,4993,0,7195
productivity,1491,10359,10359,4993,4993,0,7195
productivity,1494,10359,10359,4993,4993,0,7195
productivity,1496,10359,10359,4993,4993,0,7195
productivity,1507,10359,10359,4993,4993,0,7195
productivity,1513,10359,10359,4993,4993,0,7195
productivity,1517,10359,10359,4993,4993,0,7195
productivity,1527,10359,10359,4993,4993,0,7195
productivity,1528,10359,10359,4993,4993,0,7195
productivity,1531,10359,10359,4993,4993,0,7195
productivity,1532,10359,10359,4993,4993,0,7195
productivity,1535,10359,10359,4993,4993,0,7195
productivity,1536,10359,10359,4993,4993,0,7195
productivity,1540,10359,10359,4993,4993,0,7195
productivity,1542,10359,10359,4993,4993,0,7195
productivity,1550,10359,10359,4993,4993,0,7195
productivity,1551,10359,10359,4993,4993,0,7195
productivity,1559,10359,10359,4993,4993,0,7195
productivity,1564,10359,10359,4993,4993,0,7195
productivity,1567,10359,10359,4993,4993,0,7195
productivity,1568,10359,10359,4993,4993,0,7195
productivity,1571,10359,10359,4993,4993,0,7195
productivity,1574,10359,10359,4993,4993,0,7195
productivity,1583,10359,10359,4993,4993,0,7195
productivity,1585,10359,10359,4993,4993,0,7195
productivity,1598,10359,10359,4993,4993,0,7195
productivity,1601,10359,10359,4993,4993,0,7195
productivity,1602,10359,10359,4993,4993,0,7195
productivity,1603,10359,10359,4993,4993,0,7195
productivity,1607,10359,10359,4993,4993,0,7195
productivity,1608,10359,10359,4993,4993,0,7195
productivity,1609,10359,10359,4993,4993,0,7195
productivity,1613,10359,10359,4993,4993,0,7195
productivity,1619,10359,10359,4993,4993,0,7195
productivity,1637,10359,10359,4993,4993,0,7195
productivity,1644,10359,10359,4993,4993,0,7195
productivity,1651,10359,10359,4993,4993,0,7195
productivity,1653,10359,10359,4993,4993,0,7195
productivity,1657,10359,10359,4993,4993,0,7195
productivity,1658,10359,10359,4993,4993,0,7195
productivity,1659,10359,10359,4993,4993,0,7195
productivity,1660,10359,10359,4993,4993,0,7195
productivity,1661,10359,10359,4993,4993,0,7195
productivity,1669,10359,10359,4993,4993,0,7195
productivity,1683,10359,10359,4993,4993,0,7195
productivity,1692,10359,10359,4993,4993,0,7195
productivity,1695,10359,10359,4993,4993,0,7195
productivity,1712,10359,10359,4993,4993,0,7195
productivity,1717,10359,10359,4993,4993,0,7195
productivity,1720,10359,10359,4993,4993,0,7195
productivity,1721,10359,10359,4993,4993,0,7195
productivity,1722,10359,10359,4993,4993,0,7195
productivity,1730,10359,10359,4993,4993,0,7195
productivity,1734,10359,10359,4993,4993,0,7195
productivity,1740,10359,10359,4993,4993,0,7195
productivity,1741,10359,10359,4993,4993,0,7195
productivity,1742,10359,10359,4993,4993,0,7195
productivity,1743,10359,10359,4993,4993,0,7195
productivity,1747,10359,10359,4993,4993,0,7195
productivity,1754,10359,10359,4993,4993,0,7195
productivity,1759,10359,10359,4993,4993,0,7195
productivity,1765,10359,10359,4993,4993,0,7195
productivity,1766,10359,10359,4993,4993,0,7195
productivity,1774,10359,10359,4993,4993,0,7195
productivity,1779,10359,10359,4993,4993,0,7195
productivity,1780,10359,10359,4993,4993,0,7195
productivity,1794,10359,10359,4993,4993,0,7195
